PROJ_NAME,TRACK_GROUP,TRACK,DOMAIN,TASK,,,
Alkermes,DATABASE DOMAIN,SQL DBA,ShellScript,Monitor RDBMS log files and archive them in a timely fashion,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Monitor mount points to keep free space available on which RDBMS files and database files are located.,,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,"Ensure availability of instance/database, listeners, log files, space of log files, and other RDBMS related processes.",,,
Alkermes,DATABASE DOMAIN,SQL DBA,Powershell,Perform re-indexing as necessary to improve database performance.,,,
Alkermes,DATABASE DOMAIN,Oracle DBA,Powershell,"Generate statistics as needed for improved program, for example, run Analyze statement in Oracle.",,,
Alkermes,DATABASE DOMAIN,Oracle DBA,ShellScript,Archive log management,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Password Reset,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,To Add Server to Domain,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Configuring Disk Arrays and RAID Levels ,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Disk & File Systems Cleanups,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Setting up directory / folder shares,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Administering print queues,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Disk space and paging space management,,,
Alkermes,UNIX DOMAIN,UNIX & Linux,Powershell,Memory Utilization,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Install and configure backup client software,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,"Install, start and stop IIS (configuration and administration of IIS is on best effort basis and website management and recovery processes to be managed by the website owner/developer.",,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Identify and install Windows patches,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,"Installing the Software  like support tools, admin pack, Windows Service packs etc.",,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,"Basic Troubleshooting system N/W issues using tools like ipconfig, traceroute , nslookup etc. ",,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,"Conduct testing and verification of requirements, ensure server built to specifications.",,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Identify the network card that is installed on the system.,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Change server name,,,
Alkermes,WINTEL DOMAIN,Windows,Powershell,Change domain,,,
Alkermes,WINTEL DOMAIN,Citrix,"Tools, Optibot, Python & Misc",ICA Client Setup/Configuration,,,
Alkermes,WINTEL DOMAIN,Citrix,Powershell,Checking server Event Logs,,,
